Regular Rima,Bevelacqua 81664 5.213142924753722
Investment Hoa,Sarao 42717 11.364463709762163 Growth
Investment Donette,Foller 85131 534.2213673320307 Growth
Investment Salome,Lacovara 46511 900.3243468163259 Property
Investment Harrison,Haufler 27386 970.3812280492753 Shares
Investment Estrella,Samu 91929 1310.56345195558 Property
Savings Cheryl,Haroldson 79624 2259.1477469387146 4.761460015622053
Savings Dulce,Labreche 21562 3094.5522031932105 6.5777536739704265
Investment Rickie,Plumer 95133 3109.5782786073037 Property
Savings Cecil,Lapage 29575 3116.157367056103 2.7777861090591083
Regular Scarlet,Cartan 48411 3794.885818620983
Regular Melissa,Wiklund 84727 3932.309928472242
Regular Justine,Mugnolo 91289 4033.23835212642
Regular Merilyn,Bayless 26696 4093.583881917105
Investment Clay,Hoa 15354 4315.97374629181 Growth
Investment Twana,Felger 99736 4823.291153039664 Property
Investment Gary,Nunlee 28159 5354.173052674236 Shares
Savings Audry,Yaw 39889 5411.952825770625 5.852592208103902
Savings Brandon,Callaro 86728 5535.810026466046 7.7438086435372
Savings Kanisha,Waycott 82415 5585.411934050841 6.374116403100441
Investment Nan,Koppinger 18253 5636.655944293376 Growth
Savings Larae,Gudroe 69381 5811.712390810239 11.851041207038977
Regular Herman,Demesa 19955 6071.47025758624
Savings Pamella,Fortino 61397 6223.02443883693 0.897998858082254
Investment Jovita,Oles 48598 6243.707871312452 Property
Regular Ma,Layous 17254 6624.420127829376
Regular Jade,Farrar 15266 6960.550083691328
Savings Samira,Heintzman 86749 7071.355277605616 1.9100403709067937
Investment Lorrine,Worlds 32497 7606.062640453646 Growth
Investment Bernardine,Rodefer 83487 7769.439028715939 Growth
Savings Izetta,Dewar 58226 7774.890910495622 9.276364461086542
Investment Kattie,Vonasek 29935 8048.199626861139 Growth
Investment Kristofer,Bennick 67462 8198.73707009404 Growth
Savings Shawna,Palaspas 42895 8319.214918408255 2.8126425845789678
Regular Ammie,Corrio 73952 8467.411105979003
Investment Alyce,Arias 77723 8672.9446514441 Property
Savings Helene,Rodenberger 15323 8749.191355971052 6.1532845434961185
Regular Helaine,Halter 15412 8959.80930701956
Investment Glenna,Slayton 71214 9136.137074291515 Shares
Savings Willow,Kusko 88237 9370.830256743044 4.262731603302507
Regular Dorothy,Chesterfield 94567 9741.14937359176
Investment Art,Venere 44821 10122.382033967124 Growth
Investment Tegan,Arceo 85537 10134.355274014193 Growth
Savings Thaddeus,Ankeny 85114 10405.834481525088 4.086938308525955
Savings Van,Shire 93849 10454.828833012883 1.9169003806179905
Investment Iluminada,Ohms 98265 10584.804069683505 Growth
Savings Herminia,Nicolozakes 61171 10773.755722165166 2.3406602177428755
Investment Amie,Perigo 95858 11164.5327595276 Property
Investment Fannie,Lungren 44172 11285.381213308796 Shares
Savings Maurine,Yglesias 99378 11296.987076983087 5.61302972566192
Regular Jennifer,Fallick 84439 11545.931869231572
Investment Leota,Dilliard 13261 11683.89014370612 Property
